,Temperature,Rain
2024-12-01 00:00:00,20.900632626000768,0
2024-12-01 00:05:00,19.687731517839637,0
2024-12-01 00:10:00,19.64760764824741,0
2024-12-01 00:15:00,19.176714328534363,0
2024-12-01 00:20:00,19.683572094255567,0
2024-12-01 00:25:00,19.231880583291318,0
2024-12-01 00:30:00,19.59107403672588,0
2024-12-01 00:35:00,18.963416606430844,0
2024-12-01 00:40:00,18.951081199162996,0
2024-12-01 00:45:00,19.166124476296133,0
2024-12-01 00:50:00,18.288721669456205,0
2024-12-01 00:55:00,19.069462350664935,0
2024-12-01 01:00:00,18.569333811221036,0
2024-12-01 01:05:00,17.920862342592578,0
2024-12-01 01:10:00,18.850896902494657,0
2024-12-01 01:15:00,18.64106718781509,0
2024-12-01 01:20:00,18.3740607173667,0
2024-12-01 01:25:00,18.679411359233047,0
2024-12-01 01:30:00,18.588769794304653,0
2024-12-01 01:35:00,18.089435470691253,0
2024-12-01 01:40:00,18.477792146181947,1
2024-12-01 01:45:00,18.845340810992024,0
2024-12-01 01:50:00,19.30148586278384,0
2024-12-01 01:55:00,18.191496410188567,0
2024-12-01 02:00:00,18.550003133695512,0
2024-12-01 02:05:00,17.233627880395836,0
2024-12-01 02:10:00,18.419018581298346,0
2024-12-01 02:15:00,18.17875902038018,0
2024-12-01 02:20:00,17.58539059438508,0
2024-12-01 02:25:00,17.536359030459682,0
2024-12-01 02:30:00,19.084146134511705,0
2024-12-01 02:35:00,18.524828745939114,0
2024-12-01 02:40:00,17.704414000439293,0
2024-12-01 02:45:00,17.64683745892029,0
2024-12-01 02:50:00,17.796852493179255,0
2024-12-01 02:55:00,16.932065449730356,0
2024-12-01 03:00:00,18.525559997785805,1
2024-12-01 03:05:00,18.34403404804922,0
2024-12-01 03:10:00,18.04757172887857,0
2024-12-01 03:15:00,18.246197052463504,0
2024-12-01 03:20:00,17.193739889130626,0
2024-12-01 03:25:00,17.72806543159333,0
2024-12-01 03:30:00,18.074215513574224,0
